Index,ContributorID,Contributor_PersonID,PersonID,Year,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
168,S34,P3,S34P3,2023,19,165,50,Undergraduate Degree (UG),2,FALSE,FALSE,3 idiots,Hainan,3
169,S34,P4,S34P4,2023,19,179,65,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Hainan,4
170,S34,P5,S34P5,2023,19,176,90,Undergraduate Degree (UG),2,FALSE,TRUE,12 angry men,Hainan,5
171,S35,P1,S35P1,2023,19,172,62,High School,2,TRUE,TRUE,The Shawshank Redemption,Hainan,8
172,S35,P2,S35P2,2023,20,180,70,Undergraduate Degree (UG),2,None,TRUE,Forrest Gump ,Guangxi,9
173,S35,P3,S35P3,2023,18,176,60,High School,3,TRUE,TRUE,La vita è bella,Beijing,10
174,S35,P4,S35P4,2023,18,162,50,High School,2,TRUE,TRUE,Inception,Shanghai,8
175,S35,P5,S35P5,2023,17,185,73,High School,3,TRUE,TRUE,La leggenda del pianista sull'oceano,Guangdong,9
176,S36,P1,S36P1,2023,18,179,69,Undergraduate Degree (UG),2,FALSE,TRUE,Firework ,Jiangsu,7
177,S36,P2,S36P2,2023,18,163,51,Undergraduate Degree (UG),2,FALSE,TRUE,Qian and Qianxun,Chongqing,8
178,S36,P3,S36P3,2023,19,177,67,Undergraduate Degree (UG),4,FALSE,FALSE,Batman ,Chongqing,7
179,S36,P4,S36P4,2023,19,159,48,Undergraduate Degree (UG),2,FALSE,FALSE,Youyuanjingmeng ,Tianjin,9
180,S36,P5,S36P5,2023,19,161,48,Undergraduate Degree (UG),3,TRUE,FALSE,The Great Gatsby,Sichuan,6
181,S37,P1,S37P1,2023,21,163,51,Undergraduate Degree (UG),2,TRUE,FALSE,Interstellar,Sichuan,8
182,S37,P2,S37P2,2023,50,162,55,Postgraduate/ Master's Degree (PG),2,FALSE,TRUE,The Legend of 1900,Guangdong,9
183,S37,P3,S37P3,2023,52,178,71,Undergraduate Degree (UG),2,FALSE,TRUE,Farewell My Concubine,Guangdong,8
184,S37,P4,S37P4,2023,18,183,90,Undergraduate Degree (UG),5,FALSE,TRUE,The Wandering Earth II,Guangdong,7
185,S37,P5,S37P5,2023,26,162,55,Undergraduate Degree (UG),3,TRUE,TRUE,Forrest Gump,Sichuan,8
186,S38,P1,S38P1,2023,19,168,48,Undergraduate Degree (UG),3,FALSE,FALSE,Hannibal,Heinan,9
187,S38,P2,S38P2,2023,19,162,60,Undergraduate Degree (UG),2,TRUE,None,Harry Potter,Henan,10
