Index,ContributorID,Contributor_PersonID,PersonID,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
146,S30,P1,S30P1,19,175,60,Undergraduate Degree (UG),2,TRUE,FALSE,The Avengers,Sichuan,5
147,S30,P2,S30P2,19,192,82,Undergraduate Degree (UG),2,TRUE,FALSE,The Mission,Sichuan,3
148,S30,P3,S30P3,19,180,66,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Shandong,8
149,S30,P4,S30P4,18,187,65,Undergraduate Degree (UG),3,TRUE,FALSE,Dangal,Sichuan,7
150,S30,P5,S30P5,19,178,80,Undergraduate Degree (UG),3,TRUE,TRUE,The Fast and the Furious,Sichuan,6
151,S31,P1,S31P1,46,165.11,50.01,Undergraduate Degree (UG),2,FALSE,TRUE,Hurricane,Hebei,7
152,S31,P2,S31P2,45,175.22,68.02,Undergraduate Degree (UG),2,FALSE,TRUE,Three kingdoms,Hebei,8
153,S31,P3,S31P3,19,170.33,50.03,Undergraduate Degree (UG),2,TRUE,FALSE,Interstellar,Hainan,6
154,S31,P4,S31P4,18,165.44,44.04,Undergraduate Degree (UG),2,FALSE,FALSE,Manjianghong,Jiangsu,8
155,S31,P5,S31P5,16,175.55,60.05,High School,2,TRUE,TRUE,Spider-Man,Hebei,8
156,S32,P1,S32P1,28,185.4,85.52,High School,2,TRUE,FALSE, Manchester by the Sea,Shaanxi,7
157,S32,P2,S32P2,28,175.5,70.2,Postgraduate/ Master's Degree (PG),2,TRUE,FALSE,Farewell My Concubine,Beijing,8
158,S32,P3,S32P3,35,163.8,55.6,Postgraduate/ Master's Degree (PG),3,FALSE,TRUE,avengers,Shanghai,9
159,S32,P4,S32P4,24,158.7,52.4,High School,1,FALSE,FALSE,Infernal Affairs,Hubei,5
160,S32,P5,S32P5,31,180.3,75.8,Undergraduate Degree (UG),2,FALSE,FALSE,Fast & Furious,Hubei,8
161,S33,P1,S33P1,19,174.5,54.5,Undergraduate Degree (UG),2,FALSE,FALSE,One day,Hubei,7
162,S33,P2,S33P2,44,159.5,55.45,High School,1,FALSE,FALSE,Lalaland,Hubei,8
163,S33,P3,S33P3,50,170.6,62.54,High School,1,TRUE,TRUE,Brave heart,Hubei,9
164,S33,P4,S33P4,19,173.5,73.6,Undergraduate Degree (UG),3,FALSE,FALSE,No game no life,Hongkong,7
165,S33,P5,S33P5,18,165.3,56.35,Undergraduate Degree (UG),2,FALSE,TRUE,2001 space odyssey,Beijing,8
166,S34,P1,S34P1,19,168,46,Undergraduate Degree (UG),3,FALSE,FALSE,Hannibal,Hainan,5
167,S34,P2,S34P2,19,174,70,Undergraduate Degree (UG),2,FALSE,FALSE,The Pursuit of Happiness,Hainan,5
168,S34,P3,S34P3,19,165,50,Undergraduate Degree (UG),2,FALSE,FALSE,3 idiots,Hainan,3
169,S34,P4,S34P4,19,179,65,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Hainan,4
170,S34,P5,S34P5,19,176,90,Undergraduate Degree (UG),2,FALSE,TRUE,12 angry men,Hainan,5
171,S35,P1,S35P1,19,172,62,High School,2,TRUE,TRUE,The Shawshank Redemption,Hainan,8
172,S35,P2,S35P2,20,180,70,Undergraduate Degree (UG),2,None,TRUE,Forrest Gump ,Guangxi,9
173,S35,P3,S35P3,18,176,60,High School,3,TRUE,TRUE,La vita è bella,Beijing,10
174,S35,P4,S35P4,18,162,50,High School,2,TRUE,TRUE,Inception,Shanghai,8
175,S35,P5,S35P5,17,185,73,High School,3,TRUE,TRUE,La leggenda del pianista sull'oceano,Guangdong,9
176,S36,P1,S36P1,18,179,69,Undergraduate Degree (UG),2,FALSE,TRUE,Firework ,Jiangsu,7
177,S36,P2,S36P2,18,163,51,Undergraduate Degree (UG),2,FALSE,TRUE,Qian and Qianxun,Chongqing,8
178,S36,P3,S36P3,19,177,67,Undergraduate Degree (UG),4,FALSE,FALSE,Batman ,Chongqing,7
179,S36,P4,S36P4,19,159,48,Undergraduate Degree (UG),2,FALSE,FALSE,Youyuanjingmeng ,Tianjin,9
180,S36,P5,S36P5,19,161,48,Undergraduate Degree (UG),3,TRUE,FALSE,The Great Gatsby,Sichuan,6
181,S37,P1,S37P1,21,163,51,Undergraduate Degree (UG),2,TRUE,FALSE,Interstellar,Sichuan,8
182,S37,P2,S37P2,50,162,55,Postgraduate/ Master's Degree (PG),2,FALSE,TRUE,The Legend of 1900,Guangdong,9
183,S37,P3,S37P3,52,178,71,Undergraduate Degree (UG),2,FALSE,TRUE,Farewell My Concubine,Guangdong,8
184,S37,P4,S37P4,18,183,90,Undergraduate Degree (UG),5,FALSE,TRUE,The Wandering Earth II,Guangdong,7
185,S37,P5,S37P5,26,162,55,Undergraduate Degree (UG),3,TRUE,TRUE,Forrest Gump,Sichuan,8
186,S38,P1,S38P1,19,168,48,Undergraduate Degree (UG),3,FALSE,FALSE,Hannibal,Heinan,9
187,S38,P2,S38P2,19,162,60,Undergraduate Degree (UG),2,TRUE,None,Harry Potter,Henan,10
188,S38,P3,S38P3,19,168,51,Undergraduate Degree (UG),3,TRUE,TRUE,Ladri di biciclette,Shanghai,5
189,S38,P4,S38P4,19,176,76,Undergraduate Degree (UG),3,FALSE,FALSE,Mission impossible,Shaanxi,9
190,S38,P5,S38P5,49,173,53,Postgraduate/ Master's Degree (PG),2,None,None,Fast & Furious,Henan,3
191,S39,P1,S39P1,19,160,50.15,High School,1,FALSE,FALSE,"Hi,Mom",Fujian,9
192,S39,P2,S39P2,18,165,50,High School,2,TRUE,FALSE,The Shawshank Redemption,Fujian,6
193,S39,P3,S39P3,53,170.12,63,Postgraduate/ Master's Degree (PG),1,TRUE,TRUE,The Legend of 1900,Fujian,10
194,S39,P4,S39P4,19,170,58,High School,2,TRUE,TRUE,Titanic,Fujian,8
195,S39,P5,S39P5,18,170,57,High School,1,TRUE,TRUE,Picnic,Fujian,7
196,S40,P1,S40P1,24,184,74,Postgraduate/ Master's Degree (PG),2,TRUE,None,Flutter,Chongqing,7
197,S41,P1,S41P1,19,181.19,68.453912,Undergraduate Degree (UG),2,TRUE,TRUE,Before Sunrise,Tianjin,9
198,S41,P2,S41P2,18,163.65,50.016347,Undergraduate Degree (UG),2,FALSE,FALSE,Minions,Liaoning,10
199,S41,P3,S41P3,18,160.07,55.121973,Undergraduate Degree (UG),2,FALSE,TRUE,Better Days,Shaanxi,9
200,S41,P4,S41P4,19,175.86,58.878652,Undergraduate Degree (UG),2,FALSE,FALSE,La La Land,Shaanxi,7
201,S41,P5,S41P5,19,154.56,44.723453,Undergraduate Degree (UG),2,FALSE,FALSE,Roman Holiday,Tianjin,8
202,S42,P1,S42P1,24,192,84,Undergraduate Degree (UG),2,TRUE,FALSE,The Wandering Earth,Liaoning,7
203,S42,P2,S42P2,19,184,80,Undergraduate Degree (UG),3,FALSE,FALSE,DC Films,Liaoning,9
204,S42,P3,S42P3,21,175,77,Undergraduate Degree (UG),2,FALSE,TRUE,The Fast and the Furious,Hainan,8
205,S42,P4,S42P4,18,183,93,Undergraduate Degree (UG),2,TRUE,FALSE,Titanic,Liaoning,9
206,S42,P5,S42P5,36,172,72,Undergraduate Degree (UG),2,FALSE,TRUE,Marvel Cinematic Universe,Hainan,6
207,S43,P1,S43P1,55,160,49,Undergraduate Degree (UG),2,TRUE,TRUE,Titanic(1997),Liaoning,9
208,S43,P2,S43P2,55,178,80,Undergraduate Degree (UG),2,TRUE,FALSE,Let the Bullets Fly(2010),Liaoning,10
209,S43,P3,S43P3,12,150,60,Some School,1,FALSE,FALSE,The Lion King(2019),Liaoning,8
210,S43,P4,S43P4,26,180,75,Undergraduate Degree (UG),2,FALSE,TRUE,The Godfather(1972),Liaoning,10
211,S43,P5,S43P5,19,168,52,Undergraduate Degree (UG),2,TRUE,TRUE,Les Choristes(2004),Shanghai,10
212,S44,P1,S44P1,46,165,140,High School,1,FALSE,FALSE,Tenet,Hubei,8
213,S44,P2,S44P2,43,160,110,High School,1,FALSE,FALSE,Changjing Lake,Hubei,8
214,S44,P3,S44P3,20,173,112,Undergraduate Degree (UG),2,TRUE,TRUE,Harry Potter,Hubei,8
215,S44,P4,S44P4,5,110,20,No School,1,FALSE,FALSE,PAW patrol,Hubei,8
216,S44,P5,S44P5,21,173,130,Undergraduate Degree (UG),2,FALSE,TRUE,The Wandering Earth,Hubei,7
217,S45,P1,S45P1,19,178,60,Undergraduate Degree (UG),2,TRUE,TRUE,战狼,Hubei,10
218,S45,P2,S45P2,19,179,65,Undergraduate Degree (UG),2,TRUE,TRUE,IPZZ-081,Hubei,6
219,S45,P3,S45P3,19,168,54,Undergraduate Degree (UG),2,FALSE,TRUE,ABW-063,Hubei,7
220,S45,P4,S45P4,19,168,20,Undergraduate Degree (UG),2,TRUE,FALSE,中国女排,Hubei,6
221,S45,P5,S45P5,18,175,55,Undergraduate Degree (UG),2,FALSE,TRUE,Ready Player,Shandong,2
222,S46,P1,S46P1,18,180,73,Undergraduate Degree (UG),3,FALSE,FALSE,Puella Magi Madoka Magica,Liaoning,2
223,S46,P2,S46P2,19,163,70,Undergraduate Degree (UG),2,TRUE,FALSE,Your Name,Shandong,9
224,S46,P3,S46P3,53,163,68,High School,2,FALSE,FALSE,Waterloo Bridge,Shandong,7
225,S46,P4,S46P4,53,173,75,Postgraduate/ Master's Degree (PG),2,FALSE,FALSE,3 Idots,Shandong,5
226,S46,P5,S46P5,19,170,48,Undergraduate Degree (UG),2,FALSE,FALSE,Call Me by Your Name,Shandong,6
227,S47,P1,S47P1,18,176,71.8,Undergraduate Degree (UG),2,FALSE,TRUE,Wolf warriors 2,Guangdong,2
228,S47,P2,S47P2,18,175,105,Undergraduate Degree (UG),2,FALSE,FALSE,Family guys,Hainan,5
229,S47,P3,S47P3,26,186,83,Postgraduate/ Master's Degree (PG),2,None,FALSE,pleasant Goat and Big wolf,Hebei,5
230,S47,P4,S47P4,19,191,109,Undergraduate Degree (UG),2,TRUE,FALSE,Family Guys,Hainan,7
231,S47,P5,S47P5,18,165,60,Undergraduate Degree (UG),2,TRUE,FALSE,The Simpsons,None,6
